雅	それで、結局しずちゃんを襲ったチンピラさん達は、何も知らなかったそうです
和登	またそのパターンか
大樹	この事件の裏にいる黒幕は、相当用意周到な奴みたいですね
美琴	その話ならわたしも酒呑童子さまに聞かせてもらった。なんでも、静音くんを襲った奴は大分前から今回の依頼主と付き合いがあったらしいが、顔も知らないらしい
飛鳥	犯人達が嘘をついてる可能性はないの？
五郎	そうそう、ああいうクズが言うことってのは、信用ならねえからな
雅	お父さん曰く、読心術系の妖術を使う妖怪に協力してもらって調べたらしいんだけど、本当に何も知らなかったんだって
静音	そこまでしてなんの情報も出てこないんじゃ、本当に何も知らなかったのね
美琴	男達も初めはうさんくさいと思っていたらしいんだが、どうやら金払いだけは良かったらしいので、続けてたみたいだ
美琴	今回の件も、依頼書と一緒に静音くんに打ち込もうとした薬が送られてきて、その依頼書に書かれている通りに、事を実行しただけらしい
和登	本当に、言われるがままに理由もなく静音を襲おうとしたんだな……くそっ、もう二、三発殴っておけばよかった
五郎	本当だな、マジもんのクズどもだぜ
大樹	それで、静音さんが打たれそうになった薬というのは、何か分かったんですか？
雅	そっちは今、解析中だって。だからもう少しおとなしく待ってろ、だってさ
五郎	はは、釘刺されてっぞ、シズ
静音	分かってますよ、あたしだって今回一人で突っ走った事は反省してるんです
和登	まあ、前も言った通り俺達は静音に協力するから、少しずつ俺らなりに事件を追っていこう
静音	うん……お願い
